Gene,Syndrome,Primary PPGL location,Mode of inheritance,Clinical Features,Risk of Malignancy,Clinical Pearls
**NF1**,Neurofibromatosis type 1 (NF1),Adrenal pheochromocytoma; Can be bilateral,Autosomal dominant; 1:3000,≥2 of the following clinical criteria:;• 6 or more café-au-lait spots;• Lisch nodules (benign iris hamartomas);• ≥2 cutaneous neurofibromas;• Plexiform neurofibroma;• Axillary or inguinal freckling;• Optic glioma;• Sphenoid dysplasia (thinning of the long bones);• First-degree relative with NF1,Up to 12%,All patients with NF1 and HTN must be screened for pheochromocytoma
**RET**,Multiple endocrine neoplasia type 2 (MEN2),Adrenal pheochromocytoma; Bilateral pheochromocytoma 50% (synchronous or metachronous),Autosomal dominant; 1:30 000,MEN2A (90%):;• Medullary thyroid carcinoma;• Pheochromocytoma;• Primary hyperparathyroidism;MEN2B (10%):;• Medullary thyroid carcinoma;• Pheochromocytoma;• Mucosal neuromas;• GI ganglioneuromas;• Marfanoid habitus,<5%,Annual biochemical screening for pheochromocytoma:;• Age 11 in patients with high-risk mutations (including those in codons 634 and 918);• Age 16 for those with moderate risk mutations
**VHL**,von Hippel-Lindau,Adrenal pheochromocytoma in 10%–20%; Bilateral pheochromocytomas,Autosomal dominant; 1:36 000,"Multiple different tumors and cysts:;• Pheochromocytoma;• Hemangioblastomas of the central nervous system, including retina;• Renal cysts;• Clear cell renal cell carcinoma;• Pancreatic cysts;• Pancreatic neuroendocrine tumors;• Endolymphatic sac tumors;• Epididymal cysts",5%,Annual biochemical screening for pheochromocytoma should begin at age 5 y
**Hereditary Paraganglioma-Pheochromocytoma Syndromes**,,,,,,
**SDHA**,,Any location but more commonly in head and neck region,Autosomal dominant,PPGL; GIST,May be high at ~12%,Most experts recommend screening starting between age 6 and 10 y with annual biochemistries and full body imaging (MRI preferred) every 3 y
**SDHB**,,Any location but commonly extraadrenal and HNPGL,Autosomal dominant,PPGL; Renal cell carcinoma; GIST,23%–50%,
**SDHC**,,Any location but commonly HNPGL or thoracic PGL,Autosomal dominant,,<5%,
**SDHD**,,Any location but commonly multifocal and often HNPGL,Autosomal dominant and paternal inheritance,,<5%,
**Other Germline Susceptibility Genes**,,,,,,
**TMEM127**,Familial PPGL syndrome,Adrenal pheochromocytoma; Can be extraadrenal or HNPGL,Autosomal dominant,PPGL; Renal cell carcinoma,<5%,Rare cause of PPGL
**MAX**,Familial PPGL syndrome,Adrenal pheochromocytoma; Can be bilateral,Autosomal dominant,,Unknown; may be high,Rare cause of PPGL
**FH**,HLRCC syndrome,Any location,Autosomal dominant,Leiomyomas of the uterus and skin; renal cell carcinoma,May be high,Rare cause of PPGL
**MDH2**,Familial PPGL syndrome,Any location,Autosomal dominant,,,Rare cause of PPGL
**EPAS1**,Polycythemia paraganglioma syndrome,Any location,Somatic mosaic,Can have polycythemia and/or somatostatinomas,,Rare cause of PPGL
