,Myeloablative Allogeneic,Myeloablative Autologous,Nonmyeloablative Allogeneic
**Diseases treated**,"Many leukemias, lymphomas, myelodysplastic syndromes, myeloproliferative neoplasms, multiple myeloma, marrow failure states (e.g., aplastic anemia), select inherited immunodeficiencies, metabolic disorders, and hemoglobinopathies","Multiple myeloma, lymphomas, germ cell tumors, neuroblastoma",As for myeloablative allogeneic type
**Used in patients >60 years**,Rarely,Sometimes,Often
**Comorbidities permissible before HSCT**,Minimal,Minimal,Some
**Intensity of conditioning regimen**,High,High,Low (intermediate for RIC regimens)
**GVHD after HSCT**,Common,None,Common
**CNIs used routinely**,Yes,No,Yes
**Mortality**,Moderate-high,Low,Moderate-high
**Risk of relapse**,Lower,Higher,Lower
**Incidence of AKI**,Very common (19%-66%),Common (12%-50%),Common (29%-54%)
**Causes of AKI**,"Hepatic SOS, shock syndromes, nephrotoxic drugs, CNIs, acute TMA","Shock syndromes, nephrotoxic drugs, occasionally hepatic SOS","Shock syndromes, nephrotoxic drugs, CNIs, acute TMA"
**Incidence of CKD**,Common,Common,Mild forms probably common
**Causes of CKD**,"Irreversible AKI, kidney TMA, CNIs, GVHD","Irreversible AKI, pretransplant CKD (e.g., kidney involvement by amyloidosis or multiple myeloma)","Pretransplant mild CKD, irreversible AKI, CNIs, GVHD"
